dx_cd,icd_code,icd_type,icd_desc
O99282,O99.282,2.0,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES COMPLICATING PREGNANCY, SECOND TRIMESTER"
N470,N47.0,2.0,"ADHERENT PREPUCE, NEWBORN"
N96,N96,2.0,RECURRENT PREGNANCY LOSS
N99110,N99.110,2.0,"POSTPROCEDURAL URETHRAL STRICTURE, MALE, MEATAL"
N99821,N99.821,2.0,POSTPROCEDURAL HEMORRHAGE OF A GENITOURINARY SYSTEM ORGAN OR STRUCTURE FOLLOWING OTHER PROCEDURE
O09523,O09.523,2.0,"SUPERVISION OF ELDERLY MULTIGRAVIDA, THIRD TRIMESTER"
O2242,O22.42,2.0,"HEMORRHOIDS IN PREGNANCY, SECOND TRIMESTER"
O45001,O45.001,2.0,"PREMATURE SEPARATION OF PLACENTA WITH COAGULATION DEFECT, UNSPECIFIED, FIRST TRIMESTER"
S92342S,S92.342S,2.0,"DISPLACED FRACTURE OF FOURTH METATARSAL BONE, LEFT FOOT, SEQUELA"
S92401A,S92.401A,2.0,"DISPLACED UNSPECIFIED FRACTURE OF RIGHT GREAT TOE, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S92422D,S92.422D,2.0,"DISPLACED FRACTURE OF DISTAL PHALANX OF LEFT GREAT TOE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S92911S,S92.911S,2.0,"UNSPECIFIED FRACTURE OF RIGHT TOE(S), SEQUELA"
S9304XD,S93.04XD,2.0,"DISLOCATION OF RIGHT ANKLE JOINT, SUBSEQUENT ENCOUNTER"
T183XXS,T18.3XXS,2.0,"FOREIGN BODY IN SMALL INTESTINE, SEQUELA"
T20211S,T20.211S,2.0,"BURN OF SECOND DEGREE OF RIGHT EAR [ANY PART, EXCEPT EAR DRUM], SEQUELA"
T2026XA,T20.26XA,2.0,"BURN OF SECOND DEGREE OF FOREHEAD AND CHEEK, INITIAL ENCOUNTER"
G933,G93.3,2.0,POSTVIRAL AND RELATED FATIGUE SYNDROMES
H02229,H02.229,2.0,"MECHANICAL LAGOPHTHALMOS UNSPECIFIED EYE, UNSPECIFIED EYELID"
H04011,H04.011,2.0,"ACUTE DACRYOADENITIS, RIGHT LACRIMAL GLAND"
H1713,H17.13,2.0,"CENTRAL CORNEAL OPACITY, BILATERAL"
H21513,H21.513,2.0,"ANTERIOR SYNECHIAE (IRIS), BILATERAL"
H353230,H35.3230,2.0,"EXUDATIVE AGE-RELATED MACULAR DEGENERATION, BILATERAL, STAGE UNSPECIFIED"
H402292,H40.2292,2.0,"CHRONIC ANGLE-CLOSURE GLAUCOMA, UNSPECIFIED EYE, MODERATE STAGE"
S8290XD,S82.90XD,2.0,"UNSPECIFIED FRACTURE OF UNSPECIFIED LOWER LEG, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S83231S,S83.231S,2.0,"COMPLEX TEAR OF MEDIAL MENISCUS, CURRENT INJURY, RIGHT KNEE, SEQUELA"
S92001G,S92.001G,2.0,"UNSPECIFIED FRACTURE OF RIGHT CALCANEUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING"
S92124A,S92.124A,2.0,"NONDISPLACED FRACTURE OF BODY OF RIGHT TALUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
L97523,L97.523,2.0,NON-PRESSURE CHRONIC ULCER OF OTHER PART OF LEFT FOOT WITH NECROSIS OF MUSCLE
L97924,L97.924,2.0,NON-PRESSURE CHRONIC ULCER OF UNSPECIFIED PART OF LEFT LOWER LEG WITH NECROSIS OF BONE
T23132A,T23.132A,2.0,"BURN OF FIRST DEGREE OF MULTIPLE LEFT FINGERS (NAIL), NOT INCLUDING THUMB, INITIAL ENCOUNTER"
T465X5A,T46.5X5A,2.0,"ADVERSE EFFECT OF OTHER ANTIHYPERTENSIVE DRUGS, INITIAL ENCOUNTER"
T50A95D,T50.A95D,2.0,"ADVERSE EFFECT OF OTHER BACTERIAL VACCINES, SUBSEQUENT ENCOUNTER"
P0736,P07.36,2.0,"PRETERM NEWBORN, GESTATIONAL AGE 33 COMPLETED WEEKS"
Q160,Q16.0,2.0,CONGENITAL ABSENCE OF (EAR) AURICLE
Q72812,Q72.812,2.0,CONGENITAL SHORTENING OF LEFT LOWER LIMB
Q801,Q80.1,2.0,X-LINKED ICHTHYOSIS
R450,R45.0,2.0,NERVOUSNESS
S00512D,S00.512D,2.0,"ABRASION OF ORAL CAVITY, SUBSEQUENT ENCOUNTER"
S00521A,S00.521A,2.0,"BLISTER (NONTHERMAL) OF LIP, INITIAL ENCOUNTER"
S0083XA,S00.83XA,2.0,"CONTUSION OF OTHER PART OF HEAD, INITIAL ENCOUNTER"
P280,P28.0,2.0,PRIMARY ATELECTASIS OF NEWBORN
P5929,P59.29,2.0,NEONATAL JAUNDICE FROM OTHER HEPATOCELLULAR DAMAGE
P9162,P91.62,2.0,MODERATE HYPOXIC ISCHEMIC ENCEPHALOPATHY [HIE]
Q068,Q06.8,2.0,OTHER SPECIFIED CONGENITAL MALFORMATIONS OF SPINAL CORD
Q514,Q51.4,2.0,UNICORNATE UTERUS
Q8501,Q85.01,2.0,"NEUROFIBROMATOSIS, TYPE 1"
Q980,Q98.0,2.0,"KLINEFELTER SYNDROME KARYOTYPE 47, XXY"
R7302,R73.02,2.0,IMPAIRED GLUCOSE TOLERANCE (ORAL)
R780,R78.0,2.0,FINDING OF ALCOHOL IN BLOOD
R7889,R78.89,2.0,"FINDING OF OTHER SPECIFIED SUBSTANCES, NOT NORMALLY FOUND IN BLOOD"
S0005XD,S00.05XD,2.0,"SUPERFICIAL FOREIGN BODY OF SCALP, SUBSEQUENT ENCOUNTER"
E806,E80.6,2.0,OTHER DISORDERS OF BILIRUBIN METABOLISM
G1220,G12.20,2.0,"MOTOR NEURON DISEASE, UNSPECIFIED"
0839,083.9,1.0,"RICKETTSIOSIS, UNSPECIFIED"
138,138,1.0,LATE EFFECTS OF ACUTE POLIOMYELITIS
1538,153.8,1.0,MALIGNANT NEOPLASM OF OTHER SPECIFIED SITES OF LARGE INTESTINE
1955,195.5,1.0,MALIGNANT NEOPLASM OF LOWER LIMB
2163,216.3,1.0,BENIGN NEOPLASM OF SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE
S42271D,S42.271D,2.0,"TORUS FRACTURE OF UPPER END OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S42351K,S42.351K,2.0,"DISPLACED COMMINUTED FRACTURE OF SHAFT OF HUMERUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION"
S4292XD,S42.92XD,2.0,"FRACTURE OF LEFT SHOULDER GIRDLE, PART UNSPECIFIED, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S46112S,S46.112S,2.0,"STRAIN OF MUSCLE, FASCIA AND TENDON OF LONG HEAD OF BICEPS, LEFT ARM, SEQUELA"
S025XXB,S02.5XXB,2.0,"FRACTURE OF TOOTH (TRAUMATIC), INITIAL ENCOUNTER FOR OPEN FRACTURE"
S058X2D,S05.8X2D,2.0,"OTHER INJURIES OF LEFT EYE AND ORBIT, SUBSEQUENT ENCOUNTER"
S06330S,S06.330S,2.0,"CONTUSION AND LACERATION OF CEREBRUM, UNSPECIFIED, WITHOUT LOSS OF CONSCIOUSNESS, SEQUELA"
S06361A,S06.361A,2.0,"TRAUMATIC HEMORRHAGE OF CEREBRUM, UNSPECIFIED, WITH LOSS OF CONSCIOUSNESS OF 30 MINUTES OR LESS, INITIAL ENCOUNTER"
S12191A,S12.191A,2.0,"OTHER NONDISPLACED FRACTURE OF SECOND CERVICAL VERTEBRA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S22060B,S22.060B,2.0,"WEDGE COMPRESSION FRACTURE OF T7-T8 VERTEBRA, INITIAL ENCOUNTER FOR OPEN FRACTURE"
73340,733.40,1.0,"ASEPTIC NECROSIS OF BONE, SITE UNSPECIFIED"
7453,745.3,1.0,COMMON VENTRICLE
74740,747.40,1.0,"CONGENITAL ANOMALY OF GREAT VEINS, UNSPECIFIED"
7813,781.3,1.0,LACK OF COORDINATION
E662,E66.2,2.0,MORBID (SEVERE) OBESITY WITH ALVEOLAR HYPOVENTILATION
F1221,F12.21,2.0,"CANNABIS DEPENDENCE, IN REMISSION"
S81811S,S81.811S,2.0,"LACERATION WITHOUT FOREIGN BODY, RIGHT LOWER LEG, SEQUELA"
S82202S,S82.202S,2.0,"UNSPECIFIED FRACTURE OF SHAFT OF LEFT TIBIA, SEQUELA"
I83221,I83.221,2.0,VARICOSE VEINS OF LEFT LOWER EXTREMITY WITH BOTH ULCER OF THIGH AND INFLAMMATION
J153,J15.3,2.0,"PNEUMONIA DUE TO STREPTOCOCCUS, GROUP B"
K316,K31.6,2.0,FISTULA OF STOMACH AND DUODENUM
K389,K38.9,2.0,"DISEASE OF APPENDIX, UNSPECIFIED"
O10211,O10.211,2.0,"PRE-EXISTING HYPERTENSIVE CHRONIC KIDNEY DISEASE COMPLICATING PREGNANCY, FIRST TRIMESTER"
O359XX2,O35.9XX2,2.0,"MATERNAL CARE FOR (SUSPECTED) FETAL ABNORMALITY AND DAMAGE, UNSPECIFIED, FETUS 2"
O629,O62.9,2.0,"ABNORMALITY OF FORCES OF LABOR, UNSPECIFIED"
O639,O63.9,2.0,"LONG LABOR, UNSPECIFIED"
O721,O72.1,2.0,OTHER IMMEDIATE POSTPARTUM HEMORRHAGE
O2231,O22.31,2.0,"DEEP PHLEBOTHROMBOSIS IN PREGNANCY, FIRST TRIMESTER"
O365911,O36.5911,2.0,"MATERNAL CARE FOR OTHER KNOWN OR SUSPECTED POOR FETAL GROWTH, FIRST TRIMESTER, FETUS 1"
S92503S,S92.503S,2.0,"DISPLACED UNSPECIFIED FRACTURE OF UNSPECIFIED LESSER TOE(S), SEQUELA"
S96929A,S96.929A,2.0,"LACERATION OF UNSPECIFIED MUSCLE AND TENDON AT ANKLE AND FOOT LEVEL, UNSPECIFIED FOOT, INITIAL ENCOUNTER"
S99812S,S99.812S,2.0,"OTHER SPECIFIED INJURIES OF LEFT ANKLE, SEQUELA"
H02816,H02.816,2.0,"RETAINED FOREIGN BODY IN LEFT EYE, UNSPECIFIED EYELID"
H31412,H31.412,2.0,"HEMORRHAGIC CHOROIDAL DETACHMENT, LEFT EYE"
H35013,H35.013,2.0,"CHANGES IN RETINAL VASCULAR APPEARANCE, BILATERAL"
S83411S,S83.411S,2.0,"SPRAIN OF MEDIAL COLLATERAL LIGAMENT OF RIGHT KNEE, SEQUELA"
S90569D,S90.569D,2.0,"INSECT BITE (NONVENOMOUS), UNSPECIFIED ANKLE, SUBSEQUENT ENCOUNTER"
S92322P,S92.322P,2.0,"DISPLACED FRACTURE OF SECOND METATARSAL BONE, LEFT FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION"
L97511,L97.511,2.0,NON-PRESSURE CHRONIC ULCER OF OTHER PART OF RIGHT FOOT LIMITED TO BREAKDOWN OF SKIN
L980,L98.0,2.0,PYOGENIC GRANULOMA
M0210,M02.10,2.0,"POSTDYSENTERIC ARTHROPATHY, UNSPECIFIED SITE"
M05671,M05.671,2.0,RHEUMATOID ARTHRITIS OF RIGHT ANKLE AND FOOT WITH INVOLVEMENT OF OTHER ORGANS AND SYSTEMS
M06251,M06.251,2.0,"RHEUMATOID BURSITIS, RIGHT HIP"
M06872,M06.872,2.0,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, LEFT ANKLE AND FOOT"
M12539,M12.539,2.0,"TRAUMATIC ARTHROPATHY, UNSPECIFIED WRIST"
M12852,M12.852,2.0,"OTHER SPECIFIC ARTHROPATHIES, NOT ELSEWHERE CLASSIFIED, LEFT HIP"
M1990,M19.90,2.0,"UNSPECIFIED OSTEOARTHRITIS, UNSPECIFIED SITE"
T22421D,T22.421D,2.0,"CORROSION OF UNSPECIFIED DEGREE OF RIGHT ELBOW, SUBSEQUENT ENCOUNTER"
T24091A,T24.091A,2.0,"BURN OF UNSPECIFIED DEGREE OF MULTIPLE SITES OF RIGHT LOWER LIMB, EXCEPT ANKLE AND FOOT, INITIAL ENCOUNTER"
T448X1A,T44.8X1A,2.0,"POISONING BY CENTRALLY-ACTING AND ADRENERGIC-NEURON-BLOCKING AGENTS, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER"
Q5522,Q55.22,2.0,RETRACTILE TESTIS
R05,R05,2.0,COUGH
R29890,R29.890,2.0,LOSS OF HEIGHT
R87820,R87.820,2.0,CERVICAL LOW RISK HUMAN PAPILLOMAVIRUS (HPV) DNA TEST POSITIVE
R91,R91,2.0,ABNORMAL FINDINGS ON DIAGNOSTIC IMAGING OF LUNG
S01502A,S01.502A,2.0,"UNSPECIFIED OPEN WOUND OF ORAL CAVITY, INITIAL ENCOUNTER"
P8330,P83.30,2.0,UNSPECIFIED EDEMA SPECIFIC TO NEWBORN
Q272,Q27.2,2.0,OTHER CONGENITAL MALFORMATIONS OF RENAL ARTERY
Q674,Q67.4,2.0,"OTHER CONGENITAL DEFORMITIES OF SKULL, FACE AND JAW"
R453,R45.3,2.0,DEMORALIZATION AND APATHY
R87610,R87.610,2.0,ATYPICAL SQUAMOUS CELLS OF UNDETERMINED SIGNIFICANCE ON CYTOLOGIC SMEAR OF CERVIX (ASC-US)
R93819,R93.819,2.0,ABNORMAL RADIOLOGIC FINDINGS ON DIAGNOSTIC IMAGING OF UNSPECIFIED TESTICLE
S00209A,S00.209A,2.0,"UNSPECIFIED SUPERFICIAL INJURY OF UNSPECIFIED EYELID AND PERIOCULAR AREA, INITIAL ENCOUNTER"
E8785,E878.5,1.0,"AMPUTATION OF LIMB(S) CAUSING ABNORMAL PATIENT REACTION, OR LATER COMPLICATION, WITHOUT MENTION OF MISADVENTURE AT TIME OF OPERATION"
F064,F06.4,2.0,ANXIETY DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F1326,F13.26,2.0,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE WITH SEDATIVE, HYPNOTIC OR ANXIOLYTIC-INDUCED PERSISTING AMNESTIC DISORDER"
F641,F64.1,2.0,DUAL ROLE TRANSVESTISM
1561,156.1,1.0,MALIGNANT NEOPLASM OF EXTRAHEPATIC BILE DUCTS
1623,162.3,1.0,"MALIGNANT NEOPLASM OF UPPER LOBE, BRONCHUS OR LUNG"
1828,182.8,1.0,MALIGNANT NEOPLASM OF OTHER SPECIFIED SITES OF BODY OF UTERUS
20482,204.82,1.0,"OTHER LYMPHOID LEUKEMIA, IN RELAPSE"
2131,213.1,1.0,BENIGN NEOPLASM OF LOWER JAW BONE
S41122S,S41.122S,2.0,"LACERATION WITH FOREIGN BODY OF LEFT UPPER ARM, SEQUELA"
S42211D,S42.211D,2.0,"UNSPECIFIED DISPLACED FRACTURE OF SURGICAL NECK OF RIGHT HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S42364K,S42.364K,2.0,"NONDISPLACED SEGMENTAL FRACTURE OF SHAFT OF HUMERUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION"
S42455S,S42.455S,2.0,"NONDISPLACED FRACTURE OF LATERAL CONDYLE OF LEFT HUMERUS, SEQUELA"
S42493D,S42.493D,2.0,"OTHER DISPLACED FRACTURE OF LOWER END OF UNSPECIFIED HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S43305D,S43.305D,2.0,"DISLOCATION OF UNSPECIFIED PARTS OF LEFT SHOULDER GIRDLE, SUBSEQUENT ENCOUNTER"
S4411XA,S44.11XA,2.0,"INJURY OF MEDIAN NERVE AT UPPER ARM LEVEL, RIGHT ARM, INITIAL ENCOUNTER"
S0541XS,S05.41XS,2.0,"PENETRATING WOUND OF ORBIT WITH OR WITHOUT FOREIGN BODY, RIGHT EYE, SEQUELA"
S058X1A,S05.8X1A,2.0,"OTHER INJURIES OF RIGHT EYE AND ORBIT, INITIAL ENCOUNTER"
S0990XD,S09.90XD,2.0,"UNSPECIFIED INJURY OF HEAD, SUBSEQUENT ENCOUNTER"
S0991XA,S09.91XA,2.0,"UNSPECIFIED INJURY OF EAR, INITIAL ENCOUNTER"
S13101A,S13.101A,2.0,"DISLOCATION OF UNSPECIFIED CERVICAL VERTEBRAE, INITIAL ENCOUNTER"
S20222S,S20.222S,2.0,"CONTUSION OF LEFT BACK WALL OF THORAX, SEQUELA"
S22009S,S22.009S,2.0,"UNSPECIFIED FRACTURE OF UNSPECIFIED THORACIC VERTEBRA, SEQUELA"
7138,713.8,1.0,ARTHROPATHY ASSOCIATED WITH OTHER CONDITIONS CLASSIFIABLE ELSEWHERE
71432,714.32,1.0,PAUCIARTICULAR JUVENILE RHEUMATOID ARTHRITIS
71525,715.25,1.0,"OSTEOARTHROSIS, LOCALIZED, SECONDARY, INVOLVING PELVIC REGION AND THIGH"
7285,728.5,1.0,HYPERMOBILITY SYNDROME
7320,732.0,1.0,JUVENILE OSTEOCHONDROSIS OF SPINE
7361,736.1,1.0,MALLET FINGER
7438,743.8,1.0,"OTHER SPECIFIED ANOMALIES OF EYE, CONGENITAL"
76515,765.15,1.0,"DISORDERS RELATING TO OTHER PRETERM INFANTS 1,250-1,499 GRAMS"
797,797,1.0,SENILITY WITHOUT MENTION OF PSYCHOSIS
81510,815.10,1.0,"OPEN FRACTURE OF METACARPAL BONE(S), SITE UNSPECIFIED"
G4711,G47.11,2.0,IDIOPATHIC HYPERSOMNIA WITH LONG SLEEP TIME
H01126,H01.126,2.0,"DISCOID LUPUS ERYTHEMATOSUS OF LEFT EYE, UNSPECIFIED EYELID"
H0270,H02.70,2.0,UNSPECIFIED DEGENERATIVE DISORDERS OF EYELID AND PERIOCULAR AREA
H31013,H31.013,2.0,"MACULA SCARS OF POSTERIOR POLE (POSTINFLAMMATORY) (POST-TRAUMATIC), BILATERAL"
H33303,H33.303,2.0,"UNSPECIFIED RETINAL BREAK, BILATERAL"
H33311,H33.311,2.0,"HORSESHOE TEAR OF RETINA WITHOUT DETACHMENT, RIGHT EYE"
H3340,H33.40,2.0,"TRACTION DETACHMENT OF RETINA, UNSPECIFIED EYE"
H35042,H35.042,2.0,"RETINAL MICRO-ANEURYSMS, UNSPECIFIED, LEFT EYE"
7877,787.7,1.0,ABNORMAL FECES
81241,812.41,1.0,"SUPRACONDYLAR FRACTURE OF HUMERUS, CLOSED"
G950,G95.0,2.0,SYRINGOMYELIA AND SYRINGOBULBIA
H00015,H00.015,2.0,HORDEOLUM EXTERNUM LEFT LOWER EYELID
H10401,H10.401,2.0,"UNSPECIFIED CHRONIC CONJUNCTIVITIS, RIGHT EYE"
2532,253.2,1.0,PANHYPOPITUITARISM
29384,293.84,1.0,ANXIETY DISORDER IN CONDITIONS CLASSIFIED ELSEWHERE
29502,295.02,1.0,"SIMPLE TYPE SCHIZOPHRENIA, CHRONIC STATE"
29601,296.01,1.0,"BIPOLAR I DISORDER, SINGLE MANIC EPISODE, MILD"
34292,342.92,1.0,"HEMIPLEGIA, UNSPECIFIED, AFFECTING NONDOMINANT SIDE"
34672,346.72,1.0,"CHRONIC MIGRAINE WITHOUT AURA, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITH STATUS MIGRAINOSUS"
3518,351.8,1.0,OTHER FACIAL NERVE DISORDERS
Z8612,Z86.12,2.0,PERSONAL HISTORY OF POLIOMYELITIS
0661,066.1,1.0,TICK-BORNE FEVER
07021,070.21,1.0,"VIRAL HEPATITIS B WITH HEPATIC COMA, ACUTE OR UNSPECIFIED, WITH HEPATITIS DELTA"
1239,123.9,1.0,"CESTODE INFECTION, UNSPECIFIED"
1469,146.9,1.0,"MALIGNANT NEOPLASM OF OROPHARYNX, UNSPECIFIED SITE"
1872,187.2,1.0,MALIGNANT NEOPLASM OF GLANS PENIS
S52134D,S52.134D,2.0,"NONDISPLACED FRACTURE OF NECK OF RIGHT RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S60450D,S60.450D,2.0,"SUPERFICIAL FOREIGN BODY OF RIGHT INDEX FINGER, SUBSEQUENT ENCOUNTER"
20112,201.12,1.0,HODGKIN'S GRANULOMA INVOLVING INTRATHORACIC LYMPH NODES
20200,202.00,1.0,"NODULAR LYMPHOMA, UNSPECIFIED SITE, EXTRANODAL AND SOLID ORGAN SITES"
20780,207.80,1.0,"OTHER SPECIFIED LEUKEMIA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION"
23981,239.81,1.0,"NEOPLASMS OF UNSPECIFIED NATURE, RETINA AND CHOROID"
24980,249.80,1.0,"SECONDARY DIABETES MELLITUS WITH OTHER SPECIFIED MANIFESTATIONS, NOT STATED AS UNCONTROLLED, OR UNSPECIFIED"
30016,300.16,1.0,FACTITIOUS DISORDER WITH PREDOMINANTLY PSYCHOLOGICAL SIGNS AND SYMPTOMS
S2249XA,S22.49XA,2.0,"MULTIPLE FRACTURES OF RIBS, UNSPECIFIED SIDE, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S29012D,S29.012D,2.0,"STRAIN OF MUSCLE AND TENDON OF BACK WALL OF THORAX, SUBSEQUENT ENCOUNTER"
S34129A,S34.129A,2.0,"INCOMPLETE LESION OF UNSPECIFIED LEVEL OF LUMBAR SPINAL CORD, INITIAL ENCOUNTER"
S41012A,S41.012A,2.0,"LACERATION WITHOUT FOREIGN BODY OF LEFT SHOULDER, INITIAL ENCOUNTER"
83309,833.09,1.0,CLOSED DISLOCATION OF OTHER PART OF WRIST
83500,835.00,1.0,"CLOSED DISLOCATION OF HIP, UNSPECIFIED SITE"
9233,923.3,1.0,CONTUSION OF FINGER
94416,944.16,1.0,ERYTHEMA DUE TO BURN (FIRST DEGREE) OF BACK OF HAND
99523,995.23,1.0,UNSPECIFIED ADVERSE EFFECT OF INSULIN
99959,999.59,1.0,OTHER SERUM REACTION
A0224,A02.24,2.0,SALMONELLA OSTEOMYELITIS
E10610,E10.610,2.0,TYPE 1 DIABETES MELLITUS WITH DIABETIC NEUROPATHIC ARTHROPATHY
E1301,E13.01,2.0,OTHER SPECIFIED DIABETES MELLITUS WITH HYPEROSMOLARITY WITH COMA
E290,E29.0,2.0,TESTICULAR HYPERFUNCTION
E8581,E85.81,2.0,LIGHT CHAIN (AL) AMYLOIDOSIS
E9441,E944.1,1.0,PURINE DERIVATIVE DIURETICS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE
00845,008.45,1.0,INTESTINAL INFECTION DUE TO CLOSTRIDIUM DIFFICILE
1960,196.0,1.0,"SECONDARY AND UNSPECIFIED MALIGNANT NEOPLASM OF LYMPH NODES OF HEAD, FACE, AND NECK"
20045,200.45,1.0,"MANTLE CELL LYMPHOMA, LYMPH NODES OF INGUINAL REGION AND LOWER LIMB"
20294,202.94,1.0,OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS OF LYMPHOID AND HISTIOCYTIC TISSUE INVOLVING LYMPH NODES OF AXILLA AND UPPER LIMB
K602,K60.2,2.0,"ANAL FISSURE, UNSPECIFIED"
K6289,K62.89,2.0,OTHER SPECIFIED DISEASES OF ANUS AND RECTUM
K8011,K80.11,2.0,CALCULUS OF GALLBLADDER WITH CHRONIC CHOLECYSTITIS WITH OBSTRUCTION
K8042,K80.42,2.0,CALCULUS OF BILE DUCT WITH ACUTE CHOLECYSTITIS WITHOUT OBSTRUCTION
L0103,L01.03,2.0,BULLOUS IMPETIGO
L02621,L02.621,2.0,FURUNCLE OF RIGHT FOOT
L291,L29.1,2.0,PRURITUS SCROTI
L942,L94.2,2.0,CALCINOSIS CUTIS
M00811,M00.811,2.0,"ARTHRITIS DUE TO OTHER BACTERIA, RIGHT SHOULDER"
M06032,M06.032,2.0,"RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, LEFT WRIST"
M129,M12.9,2.0,"ARTHROPATHY, UNSPECIFIED"
S728X1S,S72.8X1S,2.0,"OTHER FRACTURE OF RIGHT FEMUR, SEQUELA"
S7412XD,S74.12XD,2.0,"INJURY OF FEMORAL NERVE AT HIP AND THIGH LEVEL, LEFT LEG, SUBSEQUENT ENCOUNTER"
S80252A,S80.252A,2.0,"SUPERFICIAL FOREIGN BODY, LEFT KNEE, INITIAL ENCOUNTER"
S82031P,S82.031P,2.0,"DISPLACED TRANSVERSE FRACTURE OF RIGHT PATELLA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH MALUNION"
S42111D,S42.111D,2.0,"DISPLACED FRACTURE OF BODY OF SCAPULA, RIGHT SHOULDER, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S42216D,S42.216D,2.0,"UNSPECIFIED NONDISPLACED FRACTURE OF SURGICAL NECK OF UNSPECIFIED HUMERUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S45112A,S45.112A,2.0,"LACERATION OF BRACHIAL ARTERY, LEFT SIDE, INITIAL ENCOUNTER"
G43111,G43.111,2.0,"MIGRAINE WITH AURA, INTRACTABLE, WITH STATUS MIGRAINOSUS"
G9349,G93.49,2.0,OTHER ENCEPHALOPATHY
H02121,H02.121,2.0,MECHANICAL ECTROPION OF RIGHT UPPER EYELID
H10431,H10.431,2.0,"CHRONIC FOLLICULAR CONJUNCTIVITIS, RIGHT EYE"
H18219,H18.219,2.0,"CORNEAL EDEMA SECONDARY TO CONTACT LENS, UNSPECIFIED EYE"
